what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1348909395395
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1348909395415
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1348909395445
os,sysinfo,,,"macosx",1348909395449
arch,sysinfo,,,"x86",1348909395449
ws,sysinfo,,,"cocoa",1348909395449
locale,sysinfo,,,"en_US",1348909395449
processors,sysinfo,,,"2",1348909395449
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348909395449
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3811",1348909395449
java.specification.name,sysinfo,,,"Java Platform API Specification",1348909395449
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348909395449
java.specification.version,sysinfo,,,"1.6",1348909395449
java.vendor,sysinfo,,,"Apple Inc.",1348909395449
java.version,sysinfo,,,"1.6.0_22",1348909395449
java.vm.info,sysinfo,,,"mixed mode",1348909395449
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1348909395449
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348909395449
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348909395449
java.vm.specification.version,sysinfo,,,"1.0",1348909395449
java.vm.vendor,sysinfo,,,"Apple Inc.",1348909395449
java.vm.version,sysinfo,,,"17.1-b03-307",1348909395449
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1348909395614
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1348909395677
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1348909395701
